login,org
jose-addario,ps-customer;ps-psp
jvermelho,ps-customer;ps-psp
lbernard0,ps-customer
loehard,ps-customer;developer-productivity
myu-westfall,ps-customer
nsdgfonseca,ps-customer
pedroivocorreia,ps-customer
raphaelkoszalka-zz,ps-customer
s2itmthomaz,ps-customer;developer-productivity
s2itrmoraes,ps-customer;ps-psp
s2itvluis,ps-customer;developer-productivity;pagseguro-core
svcacc-ps-customer-compliance,ps-customer
tcribeiro,ps-customer
tqidfaria,ps-customer
tsbprossi,ps-customer
wfranco123,ps-customer
andersonviana,ps-psp;pagseguro-core
jaisonpureza,ps-psp
jbelgamazzi,ps-psp
jefersoncapobianco,ps-psp
jeffersonbraz,ps-psp
lmoritaa,ps-psp
mlusca,ps-psp
renanmpimentel,ps-psp
rlsilva-boacompra,ps-psp
s2itlgoncalo,ps-psp;pagseguro-core
suaoliveira,ps-psp;pagseguro-core
danilohenrique17,developer-productivity;pagseguro-core
edloro,developer-productivity
Jefferson-Braz,developer-productivity
ricardoplens,developer-productivity
iddjpaiva,pagseguro-core
jarturp,pagseguro-core
s2itemunhoz,pagseguro-core
