login,org
hromeniqueps,ps-bank;ps-investments;ps-financial-services;pagseguro-core
hutiga,ps-bank;ps-acquirer;ps-customer;developer-productivity;pagseguro-core
iddanunes,ps-bank;pagbank;ps-web-channel;ps-corp-platform;ps-customer;pagseguro-core
iddbsantos,ps-bank;ps-investments;developer-productivity;pagseguro-core
iddftavares,ps-bank;ps-investments;ps-customer;developer-productivity;pagseguro-core
jdeuspagseguro,ps-bank;ps-financial-services;ps-corp-platform;ps-acquirer;ps-customer;ps-psp;developer-productivity;pagseguro-core
jh-oliveira,ps-bank;pagbank;ps-store;ps-mobileappchannel;ps-apichannel;ps-web-channel
jpaulineli,ps-bank;pagbank;pagseguro-core
kseuzebio,ps-bank;pagbank;ps-customer;pagseguro-core
ksilvano,ps-bank;ps-investments;developer-productivity;pagseguro-core
laerteg,ps-bank;ps-wallet;ps-corp-platform;pagseguro-core
laragao-uol,ps-bank;pagbank
leoamaralsousa,ps-bank;pagbank
lorloski,ps-bank;pagbank;ps-financial-services;ps-corp-platform;ps-customer;developer-productivity;pagseguro-core
lucasmachadoreis,ps-bank
marcelacustodi,ps-bank;ps-customer
marcelommr,ps-bank;ps-digital-payments;ps-wallet;pagbank;ps-infra;ps-mobileappchannel;ps-apichannel;ps-customer;developer-productivity
mbmarazzi,ps-bank;pagbank;ps-corp-platform;ps-customer;developer-productivity;pagseguro-core
pborgespag,ps-bank;ps-financial-services;pagseguro-core
PlinioHeOliveira,ps-bank;pagbank;ps-financial-services;developer-productivity;pagseguro-core
ps-elton,ps-bank;pagbank;ps-apichannel;ps-customer;pagseguro-core
rafaelcavasani,ps-bank;ps-investments;ps-servicedeskchannel;ps-corp-platform;developer-productivity
raphaelosantos,ps-bank
renatoguarato,ps-bank;ps-digital-payments;ps-wallet;pagbank;ps-customer;developer-productivity;pagseguro-core
rhacosta2020,ps-bank
Robertaison,ps-bank;ps-investments;pagbank;ps-financial-services;ps-store;ps-apichannel;developer-productivity;pagseguro-core
s2it-lfernandes,ps-bank;pagbank;ps-corp-platform;pagseguro-core
svcaccemiconfserv,ps-bank
talencar-git,ps-bank;ps-psp
thalesap,ps-bank;pagbank;ps-corp-platform;pagseguro-core
tqi-aborges,ps-bank;ps-customer;developer-productivity
tqi-fsousa,ps-bank;ps-financial-services
tqi-gandrade,ps-bank
tqi-gpinto,ps-bank;pagbank;ps-financial-services;ps-third-party-services
tqi-nmarques,ps-bank;pagbank;ps-mobileappchannel;pagseguro-core
tqi-rnicaretta,ps-bank;ps-financial-services
tqialucena,ps-bank;ps-digital-payments;ps-wallet
tqiefigueiredo,ps-bank;ps-corp-platform;ps-customer
tqifcosta,ps-bank;ps-wallet;pagbank
tqiholiveira,ps-bank;pagbank;ps-customer;developer-productivity
tqilarakaki,ps-bank;ps-corp-platform
tqimrodrigues,ps-bank;pagbank;ps-customer
tqisalvarenga,ps-bank;pagbank;ps-financial-services;ps-third-party-services;ps-customer
tqismachado,ps-bank;pagbank;ps-third-party-services;ps-psp
tqiwbarros,ps-bank;pagseguro-tilix
tsbhmorais,ps-bank;ps-customer
uolinc-gesantos,ps-bank;ps-digital-payments;pagbank;ps-financial-services
vlbarreto,ps-bank;pagbank;pagseguro-tilix
arturdgmr-uol,ps-investments;ps-apichannel;ps-customer
celioGonzaga,ps-investments;pagbank;ps-mobileappchannel;ps-apichannel;ps-customer
devmachado,ps-investments;ps-mobileappchannel;ps-apichannel;ps-customer
diegohenr,ps-investments;pagbank;ps-customer;pagseguro-core
ftmorais,ps-investments;pagbank;ps-customer;pagseguro-core
laislandin1,ps-investments;pagseguro-core
luisreispags,ps-investments;pagbank;ps-servicedeskchannel;ps-customer
rofelipe,ps-investments;pagbank;ps-servicedeskchannel;ps-corp-platform;ps-customer;developer-productivity;pagseguro-core
s2itebispo,ps-investments;pagbank;ps-mobileappchannel;ps-corp-platform;ps-customer;pagseguro-core
